Factory,Location,Coordinates
Century Trảng Bàng,Tây Ninh,"11.015609088834983, 106.386253188364"
Rạng Đông,Tây Ninh,"10.776158064710792, 106.486551023251"
Century Củ Chi,Tây Ninh,"10.984323711749918, 106.48390551720038"
TaJow,Tây Ninh,"10.879198560312512, 106.5235360460368"
Gamuda,Bình Dương,"10.805128041761039, 106.61947071720039"
Bowker,Bình Dương,"10.899153526635448, 106.7203614460368"
Tans,Bình Dương,"11.13026902317486, 106.600730688364"
Lạc Tỷ,Bình Dương,"10.739589825105892, 106.614605088364"
Quảng Việt - Yuede,Long An,"10.486053354448684, 106.3595607705495"
Dinsen - Formosa,Long An,"10.63503595656837, 106.46683880819252"
Tỷ Xuân,Miền Tây,"10.171986444397552, 105.93478011534559"
Tỷ Bách,Miền Tây,"10.037266457861026, 105.82386001720042"
Lạc Tỷ 2,Miền Tây,"9.954811291361805, 105.72851763069121"
Tỷ Thạc,Miền Tây,"10.523623399832218, 105.85027913069122"
GT Sóc Trăng,Miền Tây,"9.652344196686537, 105.960041288364"
Cụm GLJ - Daluen - Hualuen - Kuoyuen - Julien,Đồng Nai,"10.72211873515669, 106.91847860185479"
Pousung,Đồng Nai,"10.947801336914402, 107.03290328836398"
